"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
53,29.9,-1.2677792642140466,-63.2,5,239
54,37.1,-1.2425121293800536,-78.48,6,239
55,44.3,-1.217476297968397,-93.84,7,239
56,51.4,-1.1923151750972762,-109.04,8,239
57,3.1,1.6419354838709677,-16.16,1,269
58,5.05,1.6366336633663368,-26.32,2,269
59,8.85,1.6265536723163843,-46.12,3,269
60,12.25,1.6175510204081631,-63.88,4,269
61,29.9,1.569344481605351,-156.04,5,269
62,37.1,1.5497035040431264,-193.72,6,269
63,44.3,1.5299232505643339,-231.48000000000002,7,269
64,51.4,1.5103540856031128,-268.84000000000003,8,269
65,3.1,1.614516129032258,-12.96,1,271
66,5.05,1.610891089108911,-21.080000000000002,2,271
67,8.85,1.6056497175141244,-36.96,3,271
68,12.25,1.6008163265306121,-51.160000000000004,4,271
69,29.9,1.5749163879598662,-124.88000000000001,5,271
70,37.1,1.5643665768194068,-155.,6,271
71,44.3,1.5537923250564332,-185.08,7,271
72,51.4,1.5434280155642022,-214.8,8,271
73,3.1,1.5016129032258065,-11.96,1,272
74,5.05,1.502970297029703,-19.52,2,272
75,8.85,1.5062146892655368,-34.2,3,272
76,12.25,1.5093877551020407,-47.32,4,272
77,29.9,1.5239732441471572,-115.56,5,272
78,37.1,1.529908355795148,-143.4,6,272
79,44.3,1.5359864559819412,-171.24,7,272
80,51.4,1.5419066147859921,-198.68,8,272
81,3.1,1.5838709677419356,-10.8,1,274
82,5.05,1.5900990099009902,-17.64,2,274
83,8.85,1.6,-30.88,3,274
84,12.25,1.6089795918367344,-42.76,4,274
85,29.9,1.6559933110367893,-104.44,5,274
86,37.1,1.6752560646900267,-129.68,6,274
87,44.3,1.6946275395033858,-154.96,7,274
88,51.4,1.7136264591439687,-179.92000000000002,8,274
89,3.1,1.5677419354838709,-11.64,1,275
90,5.05,1.5643564356435644,-19.,2,275
91,8.85,1.5581920903954802,-33.28,3,275
92,12.25,1.5522448979591836,-46.08,4,275
93,29.9,1.5226086956521738,-112.48,5,275
94,37.1,1.5104797843665767,-139.6,6,275
95,44.3,1.4983024830699772,-166.72,7,275
96,51.4,1.4862762645914396,-193.52,8,275
97,3.1,1.053225806451613,-15.120000000000001,1,276
98,5.05,1.0623762376237624,-24.68,2,276
99,8.85,1.0796610169491525,-43.24,3,276
100,12.25,1.0951020408163263,-59.84,4,276
101,29.9,1.1758996655518394,-146.48,5,276
102,37.1,1.209153638814016,-182.04,6,276
103,44.3,1.242650112866817,-217.84,7,276
104,51.4,1.2758599221789884,-253.36,8,276
105,3.1,1.020967741935484,-14.8,1,284
106,5.05,0.999009900990099,-24.12,2,284
107,8.85,0.9576271186440678,-42.32,3,284
108,12.25,0.9199999999999999,-58.64,4,284
109,29.9,0.7210501672240802,-145.4,5,284
110,37.1,0.6366522911051212,-182.36,6,284
111,44.3,0.5481444695259593,-220.76,7,284
112,51.4,0.4568171206225681,-260.6,8,284
113,3.1,0.8290322580645161,-12.84,1,289
114,5.05,0.8356435643564356,-20.96,2,289
115,8.85,0.8480225988700565,-36.72,3,289
116,12.25,0.8587755102040816,-50.800000000000004,4,289
117,29.9,0.9149297658862876,-124.16,5,289
118,37.1,0.9379784366576818,-154.20000000000002,6,289
119,44.3,0.9610564334085778,-184.32,7,289
120,51.4,0.9838832684824902,-214.12,8,289
121,3.1,2.975806451612903,3.04,1,324
122,5.05,2.9603960396039604,4.96,2,324
123,8.85,2.9282485875706215,8.72,3,324
124,12.25,2.8995918367346936,12.08,4,324
125,29.9,2.750247491638796,29.76,5,324
126,37.1,2.6875579514824794,37.160000000000004,6,324
127,44.3,2.624063205417607,44.68,7,324
128,51.4,2.559062256809338,52.32,8,324
129,3.1,-3.0387096774193547,-1.04,1,344
130,5.05,-3.0712871287128714,-1.72,2,344
131,8.85,-3.1333333333333333,-3.,3,344
132,12.25,3.0930612244897957,-4.16,4,344
133,29.9,2.783678929765886,-10.56,5,344
134,37.1,2.6425606469002694,-13.48,6,344
135,44.3,2.4839954853273136,-16.76,7,344
136,3.1,-1.0951612903225807,7.5200000000000005,1,345
137,5.05,-1.0792079207920793,12.280000000000001,2,345
138,8.85,-1.0491525423728814,21.52,3,345
139,12.25,-1.0220408163265304,29.84,4,345
140,29.9,-0.8809297658862876,73.36,5,345
141,37.1,-0.8223234501347708,91.52,6,345
142,44.3,-0.7621218961625281,110.,7,345
143,51.4,-0.7016964980544746,128.64000000000001,8,345
144,3.1,-1.8080645161290323,2.12,1,346
145,5.05,-1.8356435643564357,3.44,2,346
146,8.85,-1.8892655367231639,6.04,3,346
147,12.25,-1.9379591836734693,8.4,4,346
148,29.9,-2.1988561872909695,21.,5,346
149,37.1,-2.3139245283018863,26.560000000000002,6,346
150,44.3,-2.4377155756207673,32.56,7,346
151,51.4,-2.5733501945525292,39.12,8,346
152,3.1,-1.8790322580645162,-4.4,1,456
153,5.05,-1.8881188118811882,-7.16,2,456
154,8.85,-1.9067796610169492,-12.6,3,456
155,12.25,-1.9236734693877549,-17.44,4,456
156,29.9,-2.011003344481605,-42.64,5,456
157,37.1,-2.0467816711590294,-53.04,6,456
158,44.3,-2.0829029345372456,-63.480000000000004,7,456
159,51.4,-2.118782101167315,-73.88,8,456
160,3.1,-0.25483870967741934,0.36,1,576
161,5.05,-0.2396039603960396,0.6,2,576
162,8.85,-0.21242937853107347,1.04,3,576
163,12.25,-0.1877551020408163,1.44,4,576
164,29.9,-0.05822073578595317,3.48,5,576
165,37.1,-0.004857142857142857,4.36,6,576
166,44.3,0.05011738148984198,5.24,7,576
167,51.4,0.10471206225680933,6.12,8,576
168,3.1,0.15161290322580645,5.72,1,581
169,5.05,0.14455445544554454,9.32,2,581
170,8.85,0.1310734463276836,16.36,3,581
171,12.25,0.1183673469387755,22.64,4,581
172,29.9,0.05367224080267558,55.36,5,581
173,37.1,0.027126684636118593,68.76,6,581
174,44.3,0.00030699774266365685,82.2,7,581
175,51.4,-0.026194552529182877,95.52,8,581
176,3.1,-2.6903225806451614,2.72,1,599
177,5.05,-2.715841584158416,4.4,2,599
178,8.85,-2.7649717514124297,7.76,3,599
179,12.25,-2.8089795918367346,10.76,4,599
180,29.9,-3.04476254180602,26.8,5,599
181,37.1,3.1356981132075465,33.76,6,599
182,44.3,3.027381489841986,41.160000000000004,7,599
183,51.4,2.9116964980544746,49.04,8,599
184,3.1,0.7887096774193548,-11.48,1,603
185,5.05,0.7970297029702971,-18.68,2,603
186,8.85,0.8146892655367232,-32.76,3,603
187,12.25,0.8297959183673469,-45.36,4,603
188,29.9,0.9089030100334448,-110.96000000000001,5,603
189,37.1,0.9413692722371967,-137.88,6,603
190,44.3,0.9742573363431151,-164.96,7,603
191,51.4,1.0065719844357977,-191.88,8,603
192,3.1,-1.9838709677419355,-8.,1,604
193,5.05,-1.993069306930693,-13.040000000000001,2,604
194,8.85,-2.0112994350282487,-22.88,3,604
195,12.25,-2.026938775510204,-31.64,4,604
196,29.9,-2.109250836120401,-77.48,5,604
197,37.1,-2.143099730458221,-96.32000000000001,6,604
198,44.3,-2.1770744920993224,-115.24000000000001,7,604
199,51.4,-2.2109260700389104,-134.04,8,604
200,3.1,-0.6951612903225807,1.2,1,620
201,5.05,-0.7396039603960396,1.92,2,620
202,8.85,-0.8259887005649718,3.4,3,620
203,12.25,-0.9048979591836733,4.76,4,620
204,29.9,-1.3631839464882942,12.56,5,620
205,37.1,-1.6133045822102423,16.8,6,620
206,3.1,1.5516129032258064,4.,1,621
207,5.05,1.5712871287128714,6.5200000000000005,2,621
208,8.85,1.609039548022599,11.44,3,621
209,12.25,1.643265306122449,15.84,4,621
210,29.9,1.8229230769230769,39.2,5,621
211,37.1,1.8989595687331533,49.04,6,621
212,44.3,1.977295711060948,59.2,7,621
213,51.4,2.0575953307392996,69.64,8,621
