EventID,TruthID,PID,layer,r,phi,z
0.,31,-211.,2,5.05,-0.7227722772277227,7.2
0.,31,-211.,3,8.85,-0.6694915254237288,12.64
0.,31,-211.,4,12.25,-0.6224489795918366,17.52
0.,31,-211.,5,29.9,-0.36785953177257524,43.88
0.,31,-211.,6,37.1,-0.25614555256064686,55.44
0.,31,-211.,7,44.3,-0.1366139954853273,67.8
0.,31,-211.,8,51.4,-0.00588715953307393,81.28
0.,32,211.,1,3.1,1.9919354838709677,8.96
0.,32,211.,2,5.05,1.9712871287128713,14.64
0.,32,211.,3,8.85,1.9310734463276837,25.68
0.,32,211.,4,12.25,1.8959183673469386,35.56
0.,32,211.,5,29.9,1.7071638795986621,88.04
0.,32,211.,6,37.1,1.6273261455525605,110.28
0.,32,211.,7,44.3,1.5445823927765234,133.32
0.,32,211.,8,51.4,1.459089494163424,157.04
0.,33,-211.,1,3.1,1.3725806451612903,4.8
0.,33,-211.,2,5.05,1.399009900990099,7.8
0.,33,-211.,3,8.85,1.451412429378531,13.68
0.,33,-211.,4,12.25,1.4991836734693875,18.96
0.,33,-211.,5,29.9,1.7542408026755851,47.52
0.,33,-211.,6,37.1,1.8663342318059297,60.04
0.,33,-211.,7,44.3,1.9865056433408577,73.48
0.,33,-211.,8,51.4,2.117260700389105,88.08
0.,37,211.,1,3.1,0.7612903225806451,93.12
0.,37,211.,2,5.05,0.7435643564356436,151.76
0.,37,211.,3,8.85,0.707909604519774,266.16
0.,37,211.,4,12.25,0.6767346938775509,368.76
0.,37,211.,5,29.9,0.5106822742474916,909.96
0.,37,211.,6,37.1,0.4410835579514824,1137.3600000000001
0.,37,211.,7,44.3,0.36924153498871326,1370.8
0.,37,211.,8,51.4,0.29640856031128404,1608.48
0.,39,211.,1,3.1,0.3419354838709677,3214.48
0.,39,211.,2,5.05,0.3336633663366337,5236.76
0.,39,211.,3,8.85,0.31751412429378534,9178.76
0.,39,211.,4,12.25,0.3028571428571428,12707.76
0.,39,211.,5,29.9,0.22787959866220733,31087.16
0.,39,211.,6,37.1,0.19703504043126682,38629.16
0.,39,211.,7,44.3,0.16608577878103836,46208.92
0.,39,211.,8,51.4,0.13540466926070038,53728.200000000004
0.,40,211.,1,3.1,2.053225806451613,-2.92
0.,40,211.,2,5.05,2.0326732673267327,-4.72
0.,40,211.,3,8.85,1.9954802259887006,-8.32
0.,40,211.,4,12.25,1.9612244897959181,-11.52
0.,40,211.,5,29.9,1.7819866220735785,-28.48
0.,40,211.,6,37.1,1.7060485175202154,-35.64
0.,40,211.,7,44.3,1.6279322799097065,-43.
0.,40,211.,8,51.4,1.5474630350194551,-50.6
0.,41,-211.,1,3.1,2.1,-2.48
0.,41,-211.,2,5.05,2.101980198019802,-4.08
0.,41,-211.,3,8.85,2.106779661016949,-7.12
0.,41,-211.,4,12.25,2.110204081632653,-9.88
0.,41,-211.,5,29.9,2.1294916387959866,-24.080000000000002
0.,41,-211.,6,37.1,2.1373261455525605,-29.88
0.,41,-211.,7,44.3,2.1452234762979683,-35.68
0.,41,-211.,8,51.4,2.1529805447470816,-41.44
0.,42,-321.,1,3.1,1.6693548387096775,-3.08
0.,42,-321.,2,5.05,1.6752475247524752,-5.04
0.,42,-321.,3,8.85,1.689265536723164,-8.8
0.,42,-321.,4,12.25,1.7012244897959181,-12.200000000000001
0.,42,-321.,5,29.9,1.7644749163879598,-29.84
0.,42,-321.,6,37.1,1.7902695417789756,-37.08
0.,42,-321.,7,44.3,1.816198645598194,-44.32
0.,42,-321.,8,51.4,1.841887159533074,-51.480000000000004
0.,43,211.,1,3.1,1.7758064516129033,-4.4
0.,43,211.,2,5.05,1.7722772277227723,-7.16
0.,43,211.,3,8.85,1.7638418079096045,-12.56
0.,43,211.,4,12.25,1.7563265306122446,-17.400000000000002
0.,43,211.,5,29.9,1.7171705685618728,-42.52
0.,43,211.,6,37.1,1.7011913746630725,-52.800000000000004
0.,43,211.,7,44.3,1.6852641083521442,-63.08
0.,43,211.,8,51.4,1.669373540856031,-73.2
0.,44,-211.,1,3.1,1.303225806451613,-5.04
0.,44,-211.,2,5.05,1.305940594059406,-8.24
0.,44,-211.,3,8.85,1.3107344632768363,-14.44
0.,44,-211.,4,12.25,1.3151020408163263,-19.96
0.,44,-211.,5,29.9,1.3375986622073577,-48.76
0.,44,-211.,6,37.1,1.3468948787061992,-60.52
0.,44,-211.,7,44.3,1.35623927765237,-72.28
0.,44,-211.,8,51.4,1.3652918287937743,-83.88
0.,45,211.,1,3.1,0.7403225806451613,-12.84
0.,45,211.,2,5.05,0.7297029702970297,-20.92
0.,45,211.,3,8.85,0.7084745762711865,-36.64
0.,45,211.,4,12.25,0.6893877551020408,-50.76
0.,45,211.,5,29.9,0.5900535117056855,-124.4
0.,45,211.,6,37.1,0.5490404312668463,-154.72
0.,45,211.,7,44.3,0.5078510158013544,-185.36
0.,45,211.,8,51.4,0.46667315175097274,-215.84
0.,46,-211.,1,3.1,1.0935483870967742,-12.88
0.,46,-211.,2,5.05,1.099009900990099,-21.
0.,46,-211.,3,8.85,1.1107344632768361,-36.76
0.,46,-211.,4,12.25,1.1208163265306121,-50.92
0.,46,-211.,5,29.9,1.1753311036789298,-124.4
0.,46,-211.,6,37.1,1.1975148247978435,-154.48
0.,46,-211.,7,44.3,1.2198555304740406,-184.64000000000001
0.,46,-211.,8,51.4,1.2418599221789883,-214.48000000000002
0.,47,211.,1,3.1,0.15161290322580645,-5.84
0.,47,211.,2,5.05,0.1425742574257426,-9.56
0.,47,211.,3,8.85,0.1248587570621469,-16.72
0.,47,211.,4,12.25,0.10938775510204081,-23.16
0.,47,211.,5,29.9,0.027177257525083612,-56.68
0.,47,211.,6,37.1,-0.00641509433962264,-70.44
0.,47,211.,7,44.3,-0.04037020316027087,-84.28
0.,47,211.,8,51.4,-0.07415175097276264,-98.04
0.,48,-211.,1,3.1,-0.04838709677419355,-2.96
0.,48,-211.,2,5.05,-0.0297029702970297,-4.84
0.,48,-211.,3,8.85,0.00847457627118644,-8.52
0.,48,-211.,4,12.25,0.04204081632653061,-11.8
0.,48,-211.,5,29.9,0.22094314381270902,-29.16
0.,48,-211.,6,37.1,0.296377358490566,-36.480000000000004
0.,48,-211.,7,44.3,0.3741534988713318,-44.04
0.,48,-211.,8,51.4,0.4541712062256809,-51.800000000000004
0.,49,211.,1,3.1,0.7064516129032258,-9.44
0.,49,211.,2,5.05,0.700990099009901,-15.4
0.,49,211.,3,8.85,0.6892655367231638,-26.96
0.,49,211.,4,12.25,0.6795918367346938,-37.32
0.,49,211.,5,29.9,0.6275785953177258,-91.2
0.,49,211.,6,37.1,0.6063180592991912,-113.24000000000001
0.,49,211.,7,44.3,0.5850609480812641,-135.36
0.,49,211.,8,51.4,0.5640428015564202,-157.20000000000002
0.,50,-211.,1,3.1,-0.13225806451612904,-5.68
0.,50,-211.,2,5.05,-0.12277227722772277,-9.24
0.,50,-211.,3,8.85,-0.10451977401129944,-16.16
0.,50,-211.,4,12.25,-0.08857142857142856,-22.400000000000002
0.,50,-211.,5,29.9,-0.003866220735785953,-54.84
0.,50,-211.,6,37.1,0.03097574123989218,-68.16
0.,50,-211.,7,44.3,0.0659277652370203,-81.56
0.,50,-211.,8,51.4,0.10074319066147859,-94.88
0.,51,-321.,1,3.1,0.6129032258064516,-35.84
0.,51,-321.,2,5.05,0.6247524752475248,-58.36
0.,51,-321.,3,8.85,0.648587570621469,-102.32000000000001
0.,51,-321.,4,12.25,0.6693877551020407,-141.72
0.,51,-321.,5,29.9,0.7806354515050167,-347.56
0.,51,-321.,6,37.1,0.8264474393530996,-432.64
0.,51,-321.,7,44.3,0.8727945823927764,-518.6800000000001
0.,51,-321.,8,51.4,0.9191906614785992,-604.64
0.,54,-211.,1,3.1,-1.6016129032258064,0.28
0.,54,-211.,2,5.05,-1.5920792079207922,0.44
0.,54,-211.,3,8.85,-1.573446327683616,0.76
0.,54,-211.,4,12.25,-1.5567346938775508,1.04
0.,54,-211.,5,29.9,-1.4701872909698996,2.6
0.,54,-211.,6,37.1,-1.4348733153638813,3.2
0.,54,-211.,7,44.3,-1.3989119638826184,3.84
0.,54,-211.,8,51.4,-1.3635058365758754,4.48
0.,55,211.,1,3.1,-2.9725806451612904,2.92
0.,55,211.,2,5.05,-2.991089108910891,4.72
0.,55,211.,3,8.85,-3.024858757062147,8.28
0.,55,211.,4,12.25,-3.0559183673469383,11.48
0.,55,211.,5,29.9,-2.6731505016722408,28.32
0.,55,211.,6,37.1,-2.605261455525606,35.4
0.,55,211.,7,44.3,-2.5356478555304736,42.64
0.,55,211.,8,51.4,-2.464933852140078,50.
0.,56,-211.,1,3.1,-2.4,-0.08
0.,56,-211.,2,5.05,-2.388118811881188,-0.16
0.,56,-211.,3,8.85,-2.364406779661017,-0.28
0.,56,-211.,4,12.25,-2.3428571428571425,-0.4
0.,56,-211.,5,29.9,-2.2309230769230766,-0.96
0.,56,-211.,6,37.1,-2.1846145552560645,-1.16
0.,56,-211.,7,44.3,-2.1377787810383744,-1.4000000000000001
0.,56,-211.,8,51.4,-2.0909999999999997,-1.6400000000000001
0.,57,211.,1,3.1,2.8838709677419354,34.
0.,57,211.,2,5.05,2.873267326732673,55.36
0.,57,211.,3,8.85,2.8519774011299437,97.08
0.,57,211.,4,12.25,2.832244897959183,134.4
0.,57,211.,5,29.9,2.731257525083612,329.40000000000003
0.,57,211.,6,37.1,2.6897574123989214,409.8
0.,57,211.,7,44.3,-3.1263115124153495,490.96000000000004
0.,57,211.,8,51.4,-3.0845408560311283,571.84
0.,60,-211.,1,3.1,-3.0306451612903227,-5.48
0.,60,-211.,2,5.05,-3.017821782178218,-8.96
0.,60,-211.,3,8.85,-2.9937853107344634,-15.68
0.,60,-211.,4,12.25,-2.9722448979591833,-21.76
0.,60,-211.,5,29.9,3.0416923076923075,-53.32
0.,60,-211.,6,37.1,2.9946576819407005,-66.4
0.,60,-211.,7,44.3,2.9474853273137693,-79.64
0.,60,-211.,8,51.4,2.89972373540856,-92.84
0.,61,211.,1,3.1,1.6741935483870967,-5.48
0.,61,211.,2,5.05,1.6633663366336633,-8.88
0.,61,211.,3,8.85,1.6440677966101696,-15.6
0.,61,211.,4,12.25,1.6265306122448977,-21.6
0.,61,211.,5,29.9,1.5350033444816051,-52.88
0.,61,211.,6,37.1,1.4971913746630725,-65.8
0.,61,211.,7,44.3,1.459237020316027,-78.76
0.,61,211.,8,51.4,1.4215175097276265,-91.68
0.,62,211.,1,3.1,1.985483870967742,-1.2
0.,62,211.,2,5.05,1.9831683168316832,-2.
0.,62,211.,3,8.85,1.980225988700565,-3.48
0.,62,211.,4,12.25,1.977551020408163,-4.8
0.,62,211.,5,29.9,1.9632441471571904,-11.76
0.,62,211.,6,37.1,1.957428571428571,-14.6
0.,62,211.,7,44.3,1.9515846501128666,-17.44
0.,62,211.,8,51.4,1.9458715953307393,-20.240000000000002
0.,63,-211.,1,3.1,1.9758064516129032,-1.6400000000000001
