EventID,layer,QID,r,phi,z
5,6,2,37.1,-1.6976172506738543,147.28
5,6,1,37.1,1.8356334231805926,324.56
5,7,2,44.3,-1.6976207674943564,176.08
5,7,1,44.3,1.8356930022573361,387.68
5,8,2,51.4,-1.6976186770428014,204.52
5,8,1,51.4,1.835669260700389,450.
6,1,1,3.1,2.4483870967741934,1.44
6,1,2,3.1,-0.8145161290322581,3.7600000000000002
6,2,1,5.05,2.4485148514851485,2.36
6,2,2,5.05,-0.8138613861386139,6.16
6,3,1,8.85,2.4491525423728815,4.12
6,3,2,8.85,-0.8135593220338984,10.76
6,4,1,12.25,2.4489795918367343,5.68
6,4,2,12.25,-0.813877551020408,14.88
6,5,1,29.9,2.4487959866220734,13.92
6,5,2,29.9,-0.8136120401337792,36.4
6,6,1,37.1,2.4487331536388135,17.32
6,6,2,37.1,-0.8135256064690026,45.160000000000004
6,7,1,44.3,2.448613995485327,20.68
6,7,2,44.3,-0.8134672686230248,53.92
6,8,1,51.4,2.4485953307392996,24.
6,8,2,51.4,-0.8134202334630349,62.6
7,1,2,3.1,-1.3419354838709678,-5.5600000000000005
7,1,1,3.1,1.8080645161290323,1.44
7,2,2,5.05,-1.3415841584158417,-9.040000000000001
7,2,1,5.05,1.807920792079208,2.36
7,3,2,8.85,-1.34180790960452,-15.88
7,3,1,8.85,1.807909604519774,4.12
7,4,2,12.25,-1.3416326530612244,-21.96
7,4,1,12.25,1.8077551020408162,5.72
7,5,2,29.9,-1.3415785953177257,-53.6
7,5,1,29.9,1.8077993311036789,13.96
7,6,2,37.1,-1.341487870619946,-66.52
7,6,1,37.1,1.8077735849056602,17.32
7,7,2,44.3,-1.3415033860045145,-79.4
7,7,1,44.3,1.8077562076749434,20.68
7,8,2,51.4,-1.34147859922179,-92.16
7,8,1,51.4,1.8077548638132295,24.
8,1,2,3.1,1.6483870967741936,1.96
8,1,1,3.1,-1.4193548387096775,3.4
8,2,2,5.05,1.6485148514851484,3.2
8,2,1,5.05,-1.4198019801980197,5.5200000000000005
8,3,2,8.85,1.6480225988700565,5.6000000000000005
8,3,1,8.85,-1.4203389830508475,9.68
8,4,2,12.25,1.6481632653061222,7.76
