hit_id,r,phi,z,layer_id,particle_id
273,5.05,-0.8178217821782179,27.68,2,1209
274,8.85,-0.7796610169491526,48.56,3,1209
275,12.25,-0.7448979591836734,67.32000000000001,4,1209
276,29.9,-0.5635585284280936,166.4,5,1209
277,37.1,-0.4868140161725067,208.32,6,1209
278,44.3,-0.4076930022573363,251.56,7,1209
279,51.4,-0.3264396887159533,295.96,8,1209
280,3.1,0.1967741935483871,10.08,1,1224
281,5.05,0.18712871287128713,16.44,2,1224
282,8.85,0.16779661016949154,28.8,3,1224
283,12.25,0.1514285714285714,39.88,4,1224
284,29.9,0.0640200668896321,97.60000000000001,5,1224
285,37.1,0.028134770889487865,121.36,6,1224
286,44.3,-0.007905191873589163,145.28,7,1224
287,51.4,-0.04398832684824903,169.04,8,1224
288,3.1,2.043548387096774,3.36,1,1227
289,5.05,2.0643564356435644,5.5200000000000005,2,1227
290,8.85,2.1039548022598873,9.64,3,1227
291,12.25,2.1395918367346938,13.4,4,1227
292,29.9,2.3293979933110367,33.160000000000004,5,1227
293,37.1,2.4097843665768193,41.52,6,1227
294,44.3,2.493128668171557,50.2,7,1227
295,51.4,2.5793696498054475,59.160000000000004,8,1227
296,3.1,2.970967741935484,3.68,1,1231
297,5.05,2.986138613861386,5.96,2,1231
298,8.85,3.0146892655367235,10.48,3,1231
299,12.25,3.040816326530612,14.52,4,1231
300,29.9,-3.1060535117056856,35.64,5,1231
301,37.1,-3.0492776280323444,44.480000000000004,6,1231
302,44.3,-2.9916162528216703,53.4,7,1231
303,51.4,-2.933591439688716,62.440000000000005,8,1231
304,3.1,-0.0064516129032258064,5.68,1,1232
305,5.05,-0.031683168316831684,9.24,2,1232
306,8.85,-0.08305084745762713,16.240000000000002,3,1232
307,12.25,-0.12897959183673469,22.52,4,1232
308,29.9,-0.3757056856187291,56.28,5,1232
309,37.1,-0.4835148247978436,71.,6,1232
310,44.3,-0.5984153498871331,86.72,7,1232
311,51.4,-0.7222023346303501,103.68,8,1232
312,3.1,0.19516129032258064,-0.08,1,1235
313,5.05,0.23663366336633665,-0.12,2,1235
314,8.85,0.3192090395480226,-0.2,3,1235
315,12.25,0.3938775510204081,-0.28,4,1235
316,29.9,0.8227090301003344,-0.68,5,1235
317,37.1,1.0452938005390835,-0.92,6,1235
318,3.1,1.0403225806451613,-4.68,1,1237
319,5.05,1.0811881188118813,-7.640000000000001,2,1237
320,8.85,1.1621468926553673,-13.44,3,1237
321,12.25,1.2355102040816326,-18.68,4,1237
322,29.9,1.6549698996655517,-48.76,5,1237
323,37.1,1.8698167115902962,-64.2,6,1237
324,3.1,1.211290322580645,2.4,1,1241
325,5.05,1.205940594059406,3.92,2,1241
326,8.85,1.196045197740113,6.84,3,1241
327,12.25,1.1865306122448978,9.48,4,1241
328,29.9,1.137123745819398,23.12,5,1241
329,37.1,1.1169595687331535,28.72,6,1241
330,44.3,1.0967494356659142,34.32,7,1241
331,51.4,1.0767548638132296,39.84,8,1241
332,3.1,1.8129032258064517,-3.24,1,1245
333,5.05,1.805940594059406,-5.28,2,1245
334,8.85,1.793220338983051,-9.24,3,1245
335,12.25,1.7816326530612243,-12.76,4,1245
336,29.9,1.7231973244147156,-31.240000000000002,5,1245
337,37.1,1.699175202156334,-38.800000000000004,6,1245
338,44.3,1.6750564334085778,-46.36,7,1245
339,51.4,1.6511167315175097,-53.84,8,1245
340,3.1,0.04516129032258064,-1.44,1,1247
341,5.05,0.034653465346534656,-2.36,2,1247
342,8.85,0.015819209039548022,-4.16,3,1247
343,12.25,-0.0012244897959183673,-5.76,4,1247
344,29.9,-0.09074247491638796,-14.120000000000001,5,1247
345,37.1,-0.12747708894878704,-17.56,6,1247
346,44.3,-0.16455079006772008,-21.04,7,1247
347,51.4,-0.201420233463035,-24.48,8,1247
348,3.1,0.7838709677419354,-0.36,1,1249
349,5.05,0.7910891089108911,-0.56,2,1249
350,8.85,0.803954802259887,-0.96,3,1249
351,12.25,0.8163265306122448,-1.36,4,1249
352,29.9,0.8789966555183946,-3.2800000000000002,5,1249
353,37.1,0.9046199460916441,-4.08,6,1249
354,44.3,0.930433408577878,-4.88,7,1249
355,51.4,0.9559027237354085,-5.68,8,1249
356,3.1,0.9693548387096774,-0.32,1,1250
357,5.05,0.9653465346534653,-0.52,2,1250
358,8.85,0.9570621468926555,-0.88,3,1250
359,12.25,0.9497959183673469,-1.24,4,1250
360,29.9,0.9131103678929765,-3.04,5,1250
361,37.1,0.898021563342318,-3.7600000000000002,6,1250
362,44.3,0.8829255079006771,-4.5200000000000005,7,1250
363,51.4,0.8680583657587548,-5.24,8,1250
364,3.1,0.07258064516129033,-1.84,1,1253
365,5.05,0.06633663366336634,-3.04,2,1253
366,8.85,0.05593220338983051,-5.32,3,1253
367,12.25,0.046938775510204075,-7.36,4,1253
368,29.9,-0.0014782608695652173,-17.96,5,1253
369,37.1,-0.021169811320754715,-22.28,6,1253
370,44.3,-0.041060948081264106,-26.64,7,1253
371,51.4,-0.06065758754863813,-30.92,8,1253
372,3.1,1.5919354838709678,0.56,1,1254
373,5.05,1.6316831683168318,0.92,2,1254
374,8.85,1.7073446327683617,1.6400000000000001,3,1254
375,12.25,1.7767346938775508,2.2800000000000002,4,1254
376,29.9,2.1657658862876255,5.92,5,1254
377,37.1,2.358188679245283,7.72,6,1254
378,44.3,2.604261851015801,10.040000000000001,7,1254
379,3.1,-2.685483870967742,14.6,1,1264
380,5.05,-2.6940594059405942,23.76,2,1264
381,8.85,-2.7084745762711866,41.68,3,1264
382,12.25,-2.72204081632653,57.68,4,1264
383,29.9,-2.791638795986622,141.08,5,1264
384,37.1,-2.8201671159029646,175.28,6,1264
385,44.3,-2.8487855530474038,209.64000000000001,7,1264
386,51.4,-2.877167315175097,243.68,8,1264
387,3.1,0.1064516129032258,-14.68,1,1304
388,5.05,0.10792079207920792,-23.88,2,1304
389,8.85,0.11299435028248588,-41.88,3,1304
390,12.25,0.11755102040816326,-57.96,4,1304
391,29.9,0.14020735785953176,-141.52,5,1304
392,37.1,0.1494716981132075,-175.64000000000001,6,1304
393,44.3,0.15864108352144468,-209.76,7,1304
394,51.4,0.1678171206225681,-243.44,8,1304
395,3.1,-1.729032258064516,7.6000000000000005,1,1337
396,5.05,-1.7148514851485148,12.36,2,1337
397,8.85,-1.6875706214689266,21.64,3,1337
398,12.25,-1.6628571428571426,30.,4,1337
399,29.9,-1.5351170568561872,73.68,5,1337
400,37.1,-1.4824366576819406,91.8,6,1337
401,44.3,-1.4281534988713316,110.24000000000001,7,1337
402,51.4,-1.3742879377431907,128.72,8,1337
403,3.1,-2.6129032258064515,4.76,1,1344
404,5.05,-2.626732673267327,7.76,2,1344
405,8.85,-2.651412429378531,13.64,3,1344
406,12.25,-2.674285714285714,18.88,4,1344
407,29.9,-2.7922073578595317,46.32,5,1344
408,37.1,-2.8409703504043122,57.68,6,1344
409,44.3,-2.890613995485327,69.16,7,1344
410,51.4,-2.940272373540856,80.68,8,1344
411,3.1,1.5290322580645161,10.200000000000001,1,1347
412,5.05,1.506930693069307,16.64,2,1347
413,8.85,1.464406779661017,29.2,3,1347
414,12.25,1.4257142857142855,40.480000000000004,4,1347
415,3.1,-0.7887096774193548,-1.92,1,1350
416,5.05,-0.7752475247524753,-3.16,2,1350
417,8.85,-0.7508474576271187,-5.5200000000000005,3,1350
418,12.25,-0.7285714285714285,-7.640000000000001,4,1350
419,29.9,-0.6125685618729096,-18.76,5,1350
420,37.1,-0.5647115902964959,-23.36,6,1350
421,44.3,-0.5159097065462753,-28.,7,1350
422,51.4,-0.4674007782101167,-32.68,8,1350
423,3.1,-0.667741935483871,-1.36,1,1351
424,5.05,-0.7019801980198019,-2.2,2,1351
425,8.85,-0.7672316384180792,-3.84,3,1351
426,12.25,-0.8261224489795918,-5.36,4,1351
427,29.9,-1.152020066889632,-13.64,5,1351
428,37.1,-1.303363881401617,-17.44,6,1351
429,44.3,-1.4757381489841985,-21.84,7,1351
430,3.1,2.07741935483871,-6.48,1,1352
431,5.05,2.091089108910891,-10.56,2,1352
432,8.85,2.1192090395480228,-18.48,3,1352
433,12.25,2.144081632653061,-25.64,4,1352
434,29.9,2.2751571906354515,-62.96,5,1352
435,37.1,2.329595687331536,-78.48,6,1352
436,44.3,2.3849119638826184,-94.24,7,1352
437,51.4,2.4405252918287936,-110.08,8,1352
438,3.1,1.585483870967742,-2.16,1,1356
439,5.05,1.5960396039603961,-3.52,2,1356
440,8.85,1.615819209039548,-6.16,3,1356
441,12.25,1.633877551020408,-8.56,4,1356
