"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
285,37.1,-2.56832884097035,42.24,6,1305
286,3.1,2.638709677419355,0.88,1,1306
287,5.05,2.6940594059405942,1.44,2,1306
288,8.85,2.803954802259887,2.52,3,1306
289,12.25,2.904897959183673,3.56,4,1306
290,29.9,-2.723752508361204,10.08,5,1306
291,3.1,1.4983870967741935,3.72,1,1312
292,5.05,1.5534653465346535,6.08,2,1312
293,8.85,1.6627118644067798,10.76,3,1312
294,12.25,1.7628571428571427,15.040000000000001,4,1312
295,29.9,2.412066889632107,42.800000000000004,5,1312
296,3.1,-1.2725806451612902,18.32,1,1346
297,5.05,-1.2643564356435644,29.84,2,1346
298,8.85,-1.2497175141242938,52.32,3,1346
299,12.25,-1.2359183673469387,72.4,4,1346
300,29.9,-1.1656655518394647,177.08,5,1346
301,37.1,-1.1367547169811318,220.,6,1346
302,44.3,-1.1078013544018057,263.12,7,1346
303,51.4,-1.0790700389105057,305.84000000000003,8,1346
304,3.1,1.0419354838709678,10.96,1,1358
305,5.05,1.0237623762376238,17.84,2,1358
306,8.85,0.9887005649717514,31.32,3,1358
307,12.25,0.9579591836734693,43.4,4,1358
308,29.9,0.7948494983277592,107.04,5,1358
309,37.1,0.7266469002695417,133.76,6,1358
310,44.3,0.6562076749435665,161.12,7,1358
311,51.4,0.5847470817120622,189.,8,1358
312,3.1,1.103225806451613,5.72,1,1364
313,5.05,1.112871287128713,9.32,2,1364
314,8.85,1.1327683615819208,16.36,3,1364
315,12.25,1.150612244897959,22.64,4,1364
316,29.9,1.2420802675585283,55.480000000000004,5,1364
317,37.1,1.279719676549865,69.,6,1364
318,44.3,1.317864559819413,82.60000000000001,7,1364
319,51.4,1.355634241245136,96.16,8,1364
320,3.1,1.4661290322580645,6.68,1,1367
321,5.05,1.4693069306930693,10.88,2,1367
322,8.85,1.4751412429378532,19.080000000000002,3,1367
323,12.25,1.4804081632653059,26.400000000000002,4,1367
324,29.9,1.5086220735785951,64.48,5,1367
325,37.1,1.5201024258760105,80.,6,1367
326,44.3,1.531611738148984,95.56,7,1367
327,51.4,1.5430311284046692,110.92,8,1367
328,3.1,1.2951612903225806,2.96,1,1370
329,5.05,1.2891089108910891,4.8,2,1370
330,8.85,1.2785310734463278,8.44,3,1370
331,12.25,1.2685714285714285,11.68,4,1370
332,29.9,1.2179732441471571,28.560000000000002,5,1370
333,37.1,1.1974231805929918,35.480000000000004,6,1370
334,44.3,1.176492099322799,42.36,7,1370
335,51.4,1.1560661478599221,49.2,8,1370
336,3.1,0.867741935483871,2.12,1,1371
337,5.05,0.8702970297029703,3.48,2,1371
338,8.85,0.8757062146892656,6.12,3,1371
339,12.25,0.880408163265306,8.44,4,1371
340,29.9,0.9056053511705685,20.64,5,1371
341,37.1,0.9158921832884096,25.6,6,1371
342,44.3,0.9261354401805868,30.6,7,1371
343,51.4,0.9363229571984435,35.52,8,1371
344,3.1,1.3951612903225807,3.64,1,1372
345,5.05,1.3930693069306932,5.96,2,1372
346,8.85,1.3875706214689265,10.4,3,1372
347,12.25,1.3828571428571428,14.44,4,1372
348,29.9,1.3587491638795985,35.2,5,1372
349,37.1,1.3490026954177896,43.68,6,1372
350,44.3,1.339200902934537,52.2,7,1372
351,51.4,1.3295058365758754,60.56,8,1372
352,3.1,0.9241935483870968,2.7600000000000002,1,1373
353,5.05,0.9346534653465347,4.5200000000000005,2,1373
354,8.85,0.9536723163841808,7.92,3,1373
355,12.25,0.970612244897959,10.96,4,1373
356,29.9,1.0591170568561872,26.84,5,1373
357,37.1,1.0955148247978435,33.36,6,1373
358,44.3,1.1322076749435666,39.92,7,1373
359,51.4,1.1687003891050582,46.480000000000004,8,1373
360,3.1,0.8258064516129032,5.8,1,1374
361,5.05,0.7881188118811882,9.44,2,1374
362,8.85,0.7141242937853107,16.6,3,1374
363,12.25,0.6465306122448979,23.080000000000002,4,1374
364,29.9,0.26904347826086955,59.480000000000004,5,1374
365,37.1,0.08522911051212936,77.2,6,1374
366,44.3,-0.14382844243792323,99.28,7,1374
367,3.1,2.274193548387097,1.44,1,1375
368,5.05,2.292079207920792,2.36,2,1375
369,8.85,2.3265536723163844,4.16,3,1375
370,12.25,2.3583673469387754,5.72,4,1375
371,29.9,2.5243010033444815,14.16,5,1375
372,37.1,2.593897574123989,17.72,6,1375
373,44.3,2.6655846501128666,21.32,7,1375
374,51.4,2.7387198443579766,25.04,8,1375
375,3.1,1.632258064516129,4.96,1,1405
376,5.05,1.6584158415841583,8.08,2,1405
